voxel_size,gaussian_sigma,min_crown_radius_m,mean_f1,std_f1,n_plots
0.1,1.0,1.5,0.3769985974754558,0.36708801942956687,5
0.2,0.3,1.0,0.3766098090179111,0.36569993527685657,5
0.1,0.3,1.5,0.3714076246334311,0.3598431665518536,5
0.1,0.5,1.5,0.3714076246334311,0.3598431665518536,5
0.1,1.0,1.0,0.3692382085999107,0.3306673133459674,5
0.1,0.3,2.0,0.361937984496124,0.3560717851204791,5
0.1,0.5,2.0,0.36151515151515146,0.35639197990767985,5
0.1,0.3,1.0,0.36109759805411973,0.33695570247285594,5
0.2,0.5,1.0,0.3604807767598466,0.35804362838996207,5
0.1,1.0,2.0,0.3592270531400966,0.3680682130164538,5
0.2,1.0,1.5,0.35843917002537695,0.35563692658203744,5
0.1,0.5,1.0,0.3578890419043871,0.33525704395968275,5
0.2,1.0,1.0,0.3502742568759073,0.3551949219222452,5
0.1,0.5,0.5,0.3462040589723028,0.2293394951616046,5
0.2,0.5,1.5,0.3446460665771011,0.3518652018491832,5
0.2,0.3,1.5,0.3446460665771011,0.3518652018491832,5
0.2,1.0,2.0,0.34243917002537694,0.36933951452495517,5
0.3,1.0,1.5,0.33596151996152,0.3505849174479205,5
0.3,0.3,1.0,0.33433296412019814,0.35187138044183414,5
0.3,0.5,1.0,0.3316874614746955,0.35164014134323135,5
0.2,0.5,2.0,0.3316017316017316,0.36584159203601646,5
0.3,1.0,1.0,0.33002480577892873,0.3509052329248134,5
0.2,0.3,2.0,0.3286460665771011,0.3651051826567704,5
0.3,0.3,1.5,0.3234259074259075,0.3502508795641987,5
0.3,0.5,1.5,0.3234259074259075,0.3502508795641987,5
0.1,1.0,0.5,0.32223455419903807,0.22799290117822804,5
0.3,1.0,2.0,0.31996151996152,0.3634894124740552,5
0.3,0.3,2.0,0.3074259074259075,0.36261454421068645,5
0.3,0.5,2.0,0.3074259074259075,0.36261454421068645,5
0.1,0.3,0.5,0.2868423774875077,0.19442741925242632,5
0.2,0.3,0.5,0.2858329968142864,0.20765754620712976,5
0.2,0.5,0.5,0.23942760942760946,0.1557059194272011,5
0.2,1.0,0.5,0.20302698857320708,0.137626699525937,5
0.3,0.5,0.5,0.17400684820204496,0.07644536382244417,5
0.3,0.3,0.5,0.13511244852708268,0.03772484673430669,5
0.3,1.0,0.5,0.11354875149855707,0.09169577688638485,5
