excluded_site,n_plots_remaining,method,mean_f1,std_f1
none,11,baseline,0.11185968349228821,0.11598828893600775
none,11,pointnet2,0.08234735016953706,0.1617337096281389
none,11,pointnet2_density,0.14287645069411956,0.10884939263209645
none,11,rf,0.1418596175922058,0.22643904260782857
none,11,rf_density,0.20854740070115704,0.16087383753381285
CULS,10,baseline,0.08919949799536321,0.0931245229428333
CULS,10,pointnet2,0.03603663064103621,0.053398737546010884
CULS,10,pointnet2_density,0.11530363064725244,0.06223009112845474
CULS,10,rf,0.07496449827034532,0.04772738716693795
CULS,10,rf_density,0.16654499791412986,0.08481464341685396
NIBIO,5,baseline,0.1803770179687484,0.11237478977816434
NIBIO,5,pointnet2,0.13489736070381234,0.23621150223580376
NIBIO,5,pointnet2_density,0.20045154923970876,0.1343288920452526
NIBIO,5,rf,0.20428337428337423,0.3445753837939036
NIBIO,5,rf_density,0.27720430308962574,0.20068201071732836
RMIT,10,baseline,0.09890772080703428,0.11356836638440646
RMIT,10,pointnet2,0.09058208518649077,0.16803396932130274
RMIT,10,pointnet2_density,0.13774662003537616,0.11332707574839923
RMIT,10,rf,0.14998497329082033,0.23699133729979555
RMIT,10,rf_density,0.20812554502659183,0.16956950072510033
SCION,9,baseline,0.11964814777881926,0.1281231409057514
SCION,9,pointnet2,0.08630984375559907,0.17764995405181933
SCION,9,pointnet2_density,0.14417191502952564,0.1167950618065609
SCION,9,rf,0.15671731039047376,0.24763108244038112
SCION,9,rf_density,0.2094367220690909,0.17884880545718576
TUWIEN,10,baseline,0.10620354657835915,0.12065272680817177
TUWIEN,10,pointnet2,0.09058208518649077,0.16803396932130274
TUWIEN,10,pointnet2_density,0.14562563422507,0.11433407271588404
TUWIEN,10,rf,0.15604557935142638,0.23347848674574623
TUWIEN,10,rf_density,0.21584281873737443,0.16764690816415576
